מוסד,רשות,מחוז תקשוב,מגזר,שם מפקח,שם מנהל,תחום,מספר כיתות בשכבה,מספר תלמידים בשכבה,תלמידים שביצעו משימה אחת לפחות,ממוצע משימות לתלמיד,תלמידים שכלל לא ביצעו משימות,ממוצע משימות לתלמיד- כלל שכבתי
344911-אורט עירוני ד,מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,צופית חדד,מתמטיקה,7,205,199,17.1,6,16.55
346494-תיכון יד ביד,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,דניאל עמוס דה שליט,מתמטיקה,2,52,44,9.9,8,8.37
347757-סאדברי ירושלים,ירושלים,העיר ירושלים,יהודי,אסנת עוזיאל,שחר יצחק גרוסמן,מתמטיקה,1,12,1,2.0,11,0.17
353458-יסודי שועפט,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מופיד אבו גוש,מתמטיקה,2,45,1,2.0,44,0.04
353599-אהבת ישראל,בית שמש,ירושלים,יהודי,תמר אודס,עמיחי רוזנפלד,מתמטיקה,2,51,32,17.8,19,11.18
362046-רנסנס,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,אסמת גחלב,מתמטיקה,2,49,0,0.0,49,0.00
"368084-בי""ס ע""י אלאספניול",ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,סאלי רפידי,מתמטיקה,1,19,1,2.0,18,0.11
412676-דאר אל חכמה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,אברהים דוויק,מתמטיקה,3,55,0,0.0,55,0.00
417832-חן נריה,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,רוחמה ווגל,מתמטיקה,2,62,60,14.0,2,13.53
420018-על יסודי צור הדסה,צור הדסה,ירושלים,יהודי,ציפי יעקב,דביר קפלן,מתמטיקה,6,135,89,6.6,46,4.33
430074-מקור התקווה,ירושלים,העיר ירושלים,יהודי,שמחה שגית קליימן,יואל רוסו,מתמטיקה,1,9,0,0.0,9,0.00
430355-בית ספר יסודי אלפגר אלגדיד,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,זינב הנדי,מתמטיקה,2,55,0,0.0,55,0.00
430363-גיל אלמוסתקבל,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,ליאלי גומעה,מתמטיקה,2,35,0,0.0,35,0.00
430439-בית ספר רואא,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,מנאר עאבדין,מתמטיקה,2,42,0,0.0,42,0.00
440412-תיכון מקיף אלראזי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,אלאא אלעדרה,מתמטיקה,3,93,0,0.0,93,0.00
